_id,id,customer_id_id,car_id_id,amount,date_of_issue,date_of_return,pickup_location
5fa41cc5efd6802e18045c9a,1,1,381,7000,2012-08-17T18:30:00.000Z,2012-08-31T18:30:00.000Z,Store D
5fa41cc5efd6802e18045c9b,2,2,465,3500,2004-08-23T18:30:00.000Z,2004-08-30T18:30:00.000Z,Store C
5fa41cc5efd6802e18045c9c,3,3,195,3500,2017-09-04T18:30:00.000Z,2017-09-11T18:30:00.000Z,Store D
5fa41cc5efd6802e18045c9d,4,4,357,3500,2011-02-21T18:30:00.000Z,2011-02-28T18:30:00.000Z,Store A
5fa41cc5efd6802e18045c9e,5,5,220,7000,2019-08-06T18:30:00.000Z,2019-08-20T18:30:00.000Z,Store A
5fa41cc5efd6802e18045c9f,6,6,110,3500,2010-08-08T18:30:00.000Z,2010-08-15T18:30:00.000Z,Store A
5fa41cc5efd6802e18045ca0,7,7,103,3500,2001-05-01T18:30:00.000Z,2001-05-08T18:30:00.000Z,Store D
5fa41cc5efd6802e18045ca1,8,8,114,3500,2019-01-04T18:30:00.000Z,2019-01-11T18:30:00.000Z,Store C
5fa41cc5efd6802e18045ca2,9,9,175,7000,2020-01-03T18:30:00.000Z,2020-01-17T18:30:00.000Z,Store B
5fa41cc5efd6802e18045ca3,10,10,378,3500,2013-02-25T18:30:00.000Z,2013-03-04T18:30:00.000Z,Store D
5fa41cc5efd6802e18045ca4,11,11,59,3500,2008-07-12T18:30:00.000Z,2008-07-19T18:30:00.000Z,Store C
5fa41cc5efd6802e18045ca5,12,12,383,7000,2021-01-14T18:30:00.000Z,2021-01-28T18:30:00.000Z,Store A
5fa41cc5efd6802e18045ca6,13,13,394,3500,2007-10-04T18:30:00.000Z,2007-10-11T18:30:00.000Z,Store B
5fa41cc5efd6802e18045ca7,14,14,275,3500,2005-05-14T18:30:00.000Z,2005-05-21T18:30:00.000Z,Store B
5fa41cc5efd6802e18045ca8,15,15,17,7000,2016-08-26T18:30:00.000Z,2016-09-09T18:30:00.000Z,Store A
5fa41cc5efd6802e18045ca9,16,16,158,3500,2012-03-10T18:30:00.000Z,2012-03-17T18:30:00.000Z,Store B
5fa41cc5efd6802e18045caa,17,17,147,3500,2010-04-09T18:30:00.000Z,2010-04-16T18:30:00.000Z,Store D
5fa41cc5efd6802e18045cab,18,18,278,3500,2012-02-24T18:30:00.000Z,2012-03-02T18:30:00.000Z,Store D
5fa41cc5efd6802e18045cac,19,19,455,3500,2010-08-12T18:30:00.000Z,2010-08-19T18:30:00.000Z,Store A
5fa41cc5efd6802e18045cad,20,20,313,7000,2008-05-29T18:30:00.000Z,2008-06-12T18:30:00.000Z,Store B
5fa41cc5efd6802e18045cae,21,21,231,3500,2012-03-31T18:30:00.000Z,2012-04-07T18:30:00.000Z,Store D
5fa41cc5efd6802e18045caf,22,22,196,3500,2016-10-16T18:30:00.000Z,2016-10-23T18:30:00.000Z,Store B
