_id,id,brand,model,description,color,date_of_purchase,available
5f9d1b7d34a56350589e095f,0,gmc,new sierra 1500,excellent,red,2019-04-11T18:30:00.000Z,false
5f9d1b7d34a56350589e0960,1,hyundai,sonata,excellent,grey,2009-09-11T18:30:00.000Z,false
5f9d1b7d34a56350589e0961,2,toyota,prius,good,blue,2018-10-01T18:30:00.000Z,false
5f9d1b7d34a56350589e0962,3,mitsubishi,lancer,good,grey,2001-01-20T18:30:00.000Z,true
5f9d1b7d34a56350589e0963,4,gmc,sierra classic 2500hd,good,white,2012-05-15T18:30:00.000Z,false
5f9d1b7d34a56350589e0964,5,ford,f-150,good,grey,2017-07-04T18:30:00.000Z,true
5f9d1b7d34a56350589e0965,6,chevrolet,equinox,good,grey,2006-10-04T18:30:00.000Z,false
5f9d1b7d34a56350589e0966,7,chevrolet,traverse,good,white,2012-01-21T18:30:00.000Z,false
5f9d1b7d34a56350589e0967,8,ford,explorer,good,white,2016-07-15T18:30:00.000Z,false
5f9d1b7d34a56350589e0968,9,ram,2500,good,custom,2014-07-01T18:30:00.000Z,false
5f9d1b7d34a56350589e0969,10,chevrolet,silverado 1500,good,silver,2015-03-14T18:30:00.000Z,true
5f9d1b7d34a56350589e096a,11,chevrolet,silverado 1500,good,blue,2005-07-07T18:30:00.000Z,false
5f9d1b7d34a56350589e096b,12,chevrolet,silverado 2500hd,good,white,2013-02-10T18:30:00.000Z,false
5f9d1b7d34a56350589e096c,13,chevrolet,silverado 1500,good,blue,2011-11-08T18:30:00.000Z,false
5f9d1b7d34a56350589e096d,14,chevrolet,tahoe,good,grey,2011-11-16T18:30:00.000Z,true
5f9d1b7d34a56350589e096e,15,chevrolet,silverado 1500,good,white,2014-02-08T18:30:00.000Z,false
5f9d1b7d34a56350589e096f,16,chevrolet,silverado 1500,good,blue,2010-01-14T18:30:00.000Z,true
5f9d1b7d34a56350589e0970,17,chevrolet,silverado 1500,good,blue,2016-04-13T18:30:00.000Z,true
5f9d1b7d34a56350589e0971,18,false,international 8600,excellent,white,2009-07-26T18:30:00.000Z,false
5f9d1b7d34a56350589e0972,19,buick,century,fair,brown,2014-10-09T18:30:00.000Z,true
5f9d1b7d34a56350589e0973,20,ford,f-800,good,brown,2009-09-29T18:30:00.000Z,true
5f9d1b7d34a56350589e0974,21,toyota,corolla le,good,black,2004-02-13T18:30:00.000Z,false
5f9d1b7d34a56350589e0975,22,ford,f-150,false,white,2008-07-14T18:30:00.000Z,false
5f9d1b7d34a56350589e0976,23,jeep,cherokee,false,black,2006-03-30T18:30:00.000Z,false
5f9d1b7d34a56350589e0977,24,jeep,grand cherokee,false,false,2005-06-05T18:30:00.000Z,false
5f9d1b7d34a56350589e0978,25,ford,fusion se,false,false,2002-10-25T18:30:00.000Z,false
5f9d1b7d34a56350589e0979,26,chevrolet,camaro,false,false,2005-11-17T18:30:00.000Z,true
5f9d1b7d34a56350589e097a,27,dodge,i,false,white,2010-01-26T18:30:00.000Z,false
5f9d1b7d34a56350589e097b,28,chevrolet,silverado,good,grey,2017-10-24T18:30:00.000Z,true
5f9d1b7d34a56350589e097c,29,subaru,impreza wagon wrx,excellent,grey,2002-09-10T18:30:00.000Z,true
5f9d1b7d34a56350589e097d,30,nissan,rogue select,excellent,purple,2008-02-23T18:30:00.000Z,false
5f9d1b7d34a56350589e097e,31,hyundai,elantra limited,good,red,2007-02-13T18:30:00.000Z,true
5f9d1b7d34a56350589e097f,32,subaru,false,false,false,2004-06-07T18:30:00.000Z,false
5f9d1b7d34a56350589e0980,33,nissan,rogue,excellent,blue,2004-05-17T18:30:00.000Z,false
5f9d1b7d34a56350589e0981,34,dodge,grand caravan,like new,silver,2007-05-13T18:30:00.000Z,true
5f9d1b7d34a56350589e0982,35,ford,edge,false,black,2009-09-11T18:30:00.000Z,false
5f9d1b7d34a56350589e0983,36,nissan,pathfinder,excellent,black,2006-08-08T18:30:00.000Z,false
